model-1588398318,1588398321.043,0.6,0.2317,0.67,0.2193
model-1588398318,1588398321.069,0.6,0.2279,0.62,0.217
model-1588398318,1588398321.096,0.55,0.2421,0.68,0.2086
model-1588398318,1588398321.126,0.63,0.236,0.66,0.2206
model-1588398318,1588398321.153,0.64,0.2289,0.57,0.2377
model-1588398318,1588398321.179,0.56,0.2487,0.67,0.2103
model-1588398318,1588398321.207,0.56,0.2395,0.68,0.2173
model-1588398318,1588398321.245,0.63,0.2154,0.67,0.2171
model-1588398318,1588398321.272,0.63,0.2225,0.64,0.2144
model-1588398318,1588398321.299,0.57,0.2381,0.63,0.2307
model-1588398318,1588398321.326,0.63,0.2236,0.56,0.2487
model-1588398318,1588398321.356,0.55,0.2551,0.55,0.251
model-1588398318,1588398321.383,0.57,0.2388,0.6,0.2251
model-1588398318,1588398321.409,0.62,0.2266,0.7,0.208
model-1588398318,1588398321.436,0.7,0.2216,0.57,0.2342
model-1588398318,1588398321.466,0.53,0.2533,0.54,0.2491
model-1588398318,1588398321.493,0.51,0.2491,0.62,0.2153
model-1588398318,1588398321.52,0.62,0.2317,0.65,0.226
model-1588398318,1588398321.55,0.64,0.2318,0.65,0.2273
model-1588398318,1588398321.583,0.63,0.2352,0.73,0.2174
model-1588398318,1588398321.609,0.53,0.2446,0.63,0.2439
model-1588398318,1588398321.636,0.55,0.2453,0.61,0.2341
model-1588398318,1588398321.663,0.67,0.2189,0.59,0.2497
model-1588398318,1588398321.692,0.58,0.2432,0.64,0.2442
model-1588398318,1588398321.72,0.45,0.2568,0.53,0.2434
model-1588398318,1588398321.748,0.55,0.2418,0.63,0.2293
model-1588398318,1588398321.775,0.64,0.2357,0.65,0.2267
model-1588398318,1588398321.804,0.55,0.2436,0.74,0.2128
model-1588398318,1588398321.83,0.54,0.2445,0.67,0.2251
model-1588398318,1588398321.857,0.62,0.2303,0.63,0.2256
model-1588398318,1588398321.883,0.63,0.2243,0.58,0.23
model-1588398318,1588398321.912,0.61,0.2277,0.61,0.2282
model-1588398318,1588398321.939,0.63,0.228,0.65,0.2321
model-1588398318,1588398321.966,0.66,0.2239,0.53,0.2443
model-1588398318,1588398321.992,0.55,0.2382,0.53,0.2591
model-1588398318,1588398322.022,0.6,0.2346,0.57,0.2306
model-1588398318,1588398322.049,0.63,0.2231,0.71,0.2008
model-1588398318,1588398322.076,0.69,0.2181,0.76,0.2056
model-1588398318,1588398322.103,0.59,0.2339,0.66,0.2218
model-1588398318,1588398322.135,0.68,0.2217,0.63,0.2171
model-1588398318,1588398322.162,0.6,0.2368,0.63,0.2296
model-1588398318,1588398322.189,0.58,0.2417,0.63,0.2249
model-1588398318,1588398322.216,0.69,0.2089,0.71,0.2118
model-1588398318,1588398322.25,0.73,0.2045,0.56,0.2437
model-1588398318,1588398322.277,0.63,0.222,0.61,0.2255
model-1588398318,1588398322.304,0.58,0.2433,0.69,0.2043
model-1588398318,1588398322.33,0.63,0.2222,0.65,0.2127
model-1588398318,1588398322.36,0.63,0.2252,0.6,0.226
model-1588398318,1588398322.386,0.55,0.245,0.56,0.2408
model-1588398318,1588398322.413,0.64,0.2121,0.65,0.2207
model-1588398318,1588398322.44,0.6,0.2395,0.64,0.228
model-1588398318,1588398322.469,0.6,0.2225,0.71,0.203
model-1588398318,1588398322.496,0.57,0.2291,0.51,0.255
model-1588398318,1588398322.525,0.6,0.2375,0.69,0.2083
model-1588398318,1588398322.552,0.65,0.2167,0.7,0.2022
model-1588398318,1588398322.585,0.54,0.2462,0.62,0.2202
model-1588398318,1588398322.612,0.6,0.2567,0.51,0.2466
model-1588398318,1588398322.639,0.63,0.2308,0.6,0.241
model-1588398318,1588398322.666,0.58,0.226,0.67,0.2152
model-1588398318,1588398322.695,0.57,0.2363,0.61,0.24
model-1588398318,1588398322.722,0.66,0.2195,0.63,0.2286
model-1588398318,1588398322.748,0.63,0.2213,0.69,0.206
model-1588398318,1588398322.776,0.64,0.2232,0.6,0.235
model-1588398318,1588398322.805,0.59,0.2348,0.53,0.2338
model-1588398318,1588398322.831,0.61,0.2266,0.7,0.2107
model-1588398318,1588398322.858,0.6,0.2349,0.62,0.2299
model-1588398318,1588398322.884,0.56,0.2469,0.56,0.2366
